instance,n_K,n_C,n_S,n_D,B,tier_used,rev_total,heur_profit,heur_runtime,heur_feasible,greedy_profit,greedy_runtime,greedy_feasible,ub_profit,ub_runtime,ub_status,opt_profit,opt_runtime,opt_status,n_accepted_h,n_accepted_g,n_upgrades_h,n_upgrades_g,scenario,block,seed
M2_skewed_levels_14.txt,200,20,8,5,4000,2,545900,-41200,0.002118825912475586,True,-47800,0.0032563209533691406,True,428000.0,0.004018545150756836,ok,,,skipped,82,116,29,45,M2_skewed_levels,B,20921525
M2_skewed_levels_15.txt,200,20,8,5,4000,2,494600,72800,0.0029993057250976562,True,-176800,0.003138303756713867,True,426500.0,0.004278898239135742,ok,,,skipped,81,111,22,52,M2_skewed_levels,B,20921526
M2_skewed_levels_16.txt,200,20,8,5,4000,2,497100,59100,0.002118349075317383,True,-132000,0.002000093460083008,True,452700.0,0.0045070648193359375,ok,,,skipped,92,116,32,45,M2_skewed_levels,B,20921527
M2_skewed_levels_17.txt,200,20,8,5,4000,2,538700,34700,0.0030007362365722656,True,-213700,0.003000020980834961,True,447200.0,0.004000663757324219,ok,,,skipped,85,110,21,39,M2_skewed_levels,B,20921528
M2_skewed_levels_18.txt,200,20,8,5,4000,2,497700,45600,0.0019998550415039062,True,-84600,0.002000093460083008,True,386700.0,0.004000425338745117,ok,,,skipped,100,115,52,51,M2_skewed_levels,B,20921529
M2_skewed_levels_19.txt,200,20,8,5,4000,2,534100,8200,0.0012726783752441406,True,-159800,0.003999471664428711,True,442000.0,0.004000425338745117,ok,,,skipped,84,108,29,43,M2_skewed_levels,B,20921530
M2_skewed_levels_20.txt,200,20,8,5,4000,2,512500,-50300,0.0019998550415039062,True,-138200,0.003000497817993164,True,436000.0,0.004000663757324219,ok,,,skipped,77,110,27,48,M2_skewed_levels,B,20921531
M2_skewed_levels_21.txt,200,20,8,5,4000,2,515200,40000,0.002000570297241211,True,-140900,0.002000093460083008,True,431500.0,0.005627155303955078,ok,,,skipped,91,113,36,49,M2_skewed_levels,B,20921532
M2_skewed_levels_22.txt,200,20,8,5,4000,2,522700,67600,0.002000570297241211,True,-124100,0.002000093460083008,True,458200.0,0.003000497817993164,ok,,,skipped,88,108,27,45,M2_skewed_levels,B,20921533
M2_skewed_levels_23.txt,200,20,8,5,4000,2,475400,92000,0.002000093460083008,True,-146200,0.0030002593994140625,True,459800.0,0.0030007362365722656,ok,,,skipped,92,107,36,43,M2_skewed_levels,B,20921534
M2_skewed_levels_24.txt,200,20,8,5,4000,2,508700,52100,0.0020003318786621094,True,-133300,0.0035593509674072266,True,381500.0,0.0030002593994140625,ok,,,skipped,91,121,31,43,M2_skewed_levels,B,20921535
M3_imbalanced_flow_00.txt,200,20,8,5,4000,2,579100,-72200,0.001013040542602539,True,-379100,0.002302885055541992,True,549700.0,0.0020003318786621094,ok,,,skipped,76,89,12,10,M3_imbalanced_flow,B,20922511
M3_imbalanced_flow_01.txt,200,20,8,5,4000,2,662600,65900,0.0020101070404052734,True,-259900,0.005360841751098633,True,482000.0,0.0044193267822265625,ok,,,skipped,92,101,8,22,M3_imbalanced_flow,B,20922512
M3_imbalanced_flow_02.txt,200,20,8,5,4000,2,669100,-54200,0.0039997100830078125,True,-532100,0.002290964126586914,True,452500.0,0.0054931640625,ok,,,skipped,83,89,11,29,M3_imbalanced_flow,B,20922513
